dataset_number,r_mm_mean,theta_mean,r_mm_std,theta_std,Delta_r_mm,Delta_theta,Delta_t_s,IB_duration_s
23,22.914,-0.1417,0.115,0.0114,-1.464,-0.2163,0.240,0.240
23,21.450,-0.3580,0.097,0.0008,-0.075,-0.0387,0.040,0.080
23,21.375,-0.3967,0.035,0.0011,3.468,-0.0398,0.160,0.120
23,24.844,-0.4365,0.092,0.0030,-2.055,-0.1368,0.120,0.160
23,22.789,-0.5733,0.000,-0.0000,0.045,-0.0155,0.040,0.040
23,22.834,-0.5889,0.055,0.0047,-0.187,-0.0018,0.080,0.080
23,22.647,-0.5907,0.000,-0.0000,0.276,-0.1301,0.160,0.040
23,22.923,-0.7209,0.011,0.0025,0.121,-0.0252,0.040,0.080
23,23.044,-0.7461,0.039,0.0066,0.306,-0.0811,0.080,0.160
23,23.350,-0.8271,0.000,-0.0000,0.151,-0.0275,0.040,0.040
23,23.500,-0.8546,0.036,0.0059,0.495,-0.0221,0.040,0.120
23,23.995,-0.8767,0.000,-0.0000,-3.758,-0.2015,0.240,0.040
23,20.238,-1.0783,0.071,0.0143,2.622,-0.0543,0.120,0.280
23,22.860,-1.1325,0.000,-0.0000,0.603,-0.0323,0.080,0.040
23,23.463,-1.1649,0.144,0.0049,2.452,0.0641,0.120,0.320
23,25.915,-1.1007,0.129,0.0038,-0.743,0.2006,0.160,0.240
23,25.173,-0.9001,0.114,0.0029,-0.129,0.2258,0.240,0.120
23,25.043,-0.6743,0.036,0.0058,-0.787,0.2664,0.280,0.080
23,24.256,-0.4079,0.025,0.0144,0.234,0.2011,0.280,0.240
23,24.490,-0.2068,0.097,0.0116,-0.140,0.1356,0.200,0.200
23,24.350,-0.0712,0.000,0.0000,-0.063,0.1590,0.200,0.040
23,24.288,0.0878,0.080,0.0070,-0.348,0.2447,0.240,0.120
23,23.939,0.3325,0.000,-0.0000,-1.343,0.2099,0.200,0.040
23,22.597,0.5424,0.000,-0.0000,0.462,0.0394,0.040,0.040
23,23.059,0.5818,0.063,0.0034,0.744,0.1007,0.160,0.120
23,23.803,0.6826,0.000,-0.0000,-0.028,0.0227,0.040,0.040
23,23.775,0.7052,0.000,-0.0000,0.203,-0.2282,0.160,0.040
23,23.978,0.4771,0.084,0.0006,-0.314,-0.1587,0.120,0.080
23,23.664,0.3184,0.089,0.0072,0.619,-0.1946,0.160,0.160
23,24.282,0.1238,0.056,0.0065,-0.701,-0.2566,0.200,0.080
23,23.582,-0.1328,0.084,0.0122,-0.782,-0.1604,0.120,0.320
23,22.800,-0.2932,0.084,0.0138,1.963,-0.0129,0.080,0.240
23,24.762,-0.3062,0.001,0.0057,0.100,-0.1314,0.160,0.080
23,24.862,-0.4376,0.000,-0.0000,-0.042,-0.0150,0.040,0.040
23,24.821,-0.4526,0.050,0.0007,-2.080,-0.1455,0.120,0.120
23,22.740,-0.5981,0.118,0.0145,2.449,-0.0078,0.120,0.200
23,25.190,-0.6059,0.000,-0.0000,0.025,-0.0875,0.160,0.040
23,25.215,-0.6934,0.134,0.0068,0.053,-0.1520,0.240,0.120
23,25.268,-0.8454,0.044,0.0029,-0.949,-0.2133,0.240,0.160
23,24.318,-1.0587,0.000,0.0000,0.153,-0.0340,0.040,0.040
23,24.471,-1.0927,0.037,0.0045,1.161,0.0344,0.080,0.080
23,25.632,-1.0583,0.000,-0.0000,-0.145,-0.1123,0.160,0.040
23,25.487,-1.1706,0.162,0.0020,-1.019,-0.2182,0.240,0.160
23,24.468,-1.3889,0.096,0.0101,1.514,0.0475,0.040,0.240
23,25.982,-1.3414,0.078,0.0020,-0.421,-0.1323,0.120,0.120
23,25.561,-1.4737,0.059,0.0047,-2.212,-0.1611,0.160,0.160
23,23.349,-1.6348,0.000,-0.0000,0.121,-0.0329,0.040,0.040
23,23.470,-1.6677,0.068,0.0031,2.401,0.0595,0.080,0.480
23,25.871,-1.6082,0.130,0.0036,-0.269,-0.0195,0.040,0.120
23,25.603,-1.6277,0.000,0.0000,0.110,-0.0545,0.080,0.040
23,25.713,-1.6822,0.062,0.0026,-1.365,-0.1710,0.200,0.160
23,24.348,-1.8532,0.047,0.0096,0.607,-0.0731,0.120,0.280
23,24.954,-1.9264,0.000,-0.0000,0.247,-0.0204,0.040,0.040
23,25.202,-1.9468,0.110,0.0052,-0.016,-0.0045,0.040,0.280
23,25.186,-1.9513,0.025,0.0011,0.411,0.0011,0.040,0.200
23,25.597,-1.9502,0.000,-0.0000,-0.333,-0.1319,0.160,0.040
23,25.264,-2.0820,0.000,-0.0000,-0.088,-0.0293,0.040,0.040
23,25.176,-2.1113,0.069,0.0094,0.392,-0.0835,0.160,0.560
23,25.569,-2.1948,0.000,0.0000,-1.573,-0.0957,0.120,0.040
23,23.996,-2.2905,0.000,-0.0000,0.312,-0.0141,0.040,0.040
23,24.308,-2.3046,0.075,0.0033,-0.972,-0.0025,0.040,0.200
23,23.336,-2.3070,0.000,-0.0000,-0.271,-0.1658,0.160,0.040
23,23.065,-2.4729,0.094,0.0101,2.655,-0.0400,0.080,0.200
23,25.719,-2.5129,0.000,-0.0000,-0.415,-0.1284,0.160,0.040
23,25.305,-2.6413,0.000,-0.0000,-0.005,-0.0175,0.040,0.040
23,25.299,-2.6588,0.043,0.0043,-1.799,-0.0404,0.080,0.200
23,23.501,-2.6992,0.014,0.0040,-2.252,0.4708,0.200,0.120
23,21.249,-2.2284,0.136,0.0052,4.626,0.0277,0.160,0.160
23,25.875,-2.2007,0.000,-0.0000,-1.821,0.1740,0.160,0.040
23,24.054,-2.0267,0.041,0.0078,2.039,0.0134,0.120,0.240
23,26.093,-2.0133,0.000,-0.0000,-0.501,0.1254,0.160,0.040
23,25.592,-1.8879,0.087,0.0032,-3.318,0.1613,0.240,0.160
23,22.274,-1.7266,0.011,0.0014,3.609,-0.0001,0.160,0.080
23,25.883,-1.7268,0.070,0.0005,-0.602,0.1328,0.160,0.120
23,25.281,-1.5940,0.012,0.0063,0.260,0.0156,0.040,0.080
23,25.541,-1.5784,0.032,0.0009,-1.593,0.1535,0.160,0.120
23,23.947,-1.4249,0.163,0.0103,1.625,0.0162,0.080,0.240
23,25.573,-1.4086,0.179,0.0032,-0.225,0.1460,0.160,0.160
23,25.348,-1.2626,0.045,0.0046,-0.862,0.1404,0.160,0.200
23,24.486,-1.1222,0.116,0.0069,0.256,0.1523,0.160,0.200
23,24.741,-0.9698,0.117,0.0103,-0.794,0.1578,0.160,0.200
23,23.948,-0.8120,0.063,0.0071,0.132,0.0239,0.040,0.120
23,24.080,-0.7881,0.109,0.0007,0.330,0.0249,0.040,0.080
23,24.410,-0.7631,0.000,-0.0000,0.780,0.0386,0.040,0.040
23,25.190,-0.7246,0.022,0.0022,-0.695,0.1622,0.240,0.080
23,24.495,-0.5624,0.049,0.0012,-0.146,0.0133,0.040,0.120
23,24.349,-0.5490,0.000,-0.0000,-0.709,0.1208,0.200,0.040
23,23.640,-0.4282,0.063,0.0090,1.833,-0.5461,0.480,0.320
23,25.473,-0.9744,0.242,0.0022,-1.954,-0.2142,0.160,0.160
23,23.519,-1.1886,0.044,0.0056,1.791,-0.1340,0.200,0.200
23,25.310,-1.3226,0.007,0.0029,-0.903,-0.2717,0.240,0.080
23,24.407,-1.5943,0.068,0.0032,1.405,0.0194,0.080,0.120
23,25.812,-1.5748,0.044,0.0034,-0.273,-0.1433,0.160,0.120
23,25.539,-1.7182,0.000,0.0000,0.068,-0.0225,0.040,0.040
23,25.607,-1.7407,0.107,0.0031,-1.091,-0.1143,0.200,0.160
23,24.515,-1.8550,0.000,0.0000,0.093,-0.0125,0.040,0.040
23,24.608,-1.8675,0.037,0.0047,0.955,-0.0577,0.120,0.320
23,25.563,-1.9252,0.000,-0.0000,0.026,-0.0134,0.040,0.040
23,25.590,-1.9386,0.050,0.0012,-0.793,-0.1049,0.160,0.160
23,24.796,-2.0435,0.120,0.0056,0.207,-0.0960,0.120,0.280
23,25.004,-2.1394,0.129,0.0105,-0.482,-0.1094,0.120,0.360
23,24.521,-2.2488,0.110,0.0094,-0.739,-0.1127,0.200,0.200
23,23.782,-2.3615,0.029,0.0049,1.739,-0.1039,0.160,0.080
23,25.521,-2.4654,0.020,0.0030,-0.657,-0.2370,0.200,0.120
23,24.863,-2.7024,0.083,0.0029,-0.025,-0.0300,0.040,0.080
23,24.838,-2.7324,0.065,0.0062,0.481,-0.0035,0.040,0.160
23,25.320,-2.7359,0.120,0.0038,-0.896,-0.1834,0.200,0.080
23,24.423,-2.9193,0.153,0.0001,-2.248,-0.1249,0.080,0.080
23,22.176,-3.0442,0.000,-0.0000,0.406,-0.0525,0.040,0.040
23,22.582,-3.0967,0.070,0.0115,-0.065,-0.0065,0.040,0.200
23,22.517,-3.1032,0.137,0.0015,-0.214,-0.1431,0.120,0.080
23,22.303,3.0368,0.026,0.0153,2.557,-0.0806,0.200,0.360
23,24.860,2.9562,0.000,-0.0000,-1.046,-0.1569,0.120,0.040
23,23.815,2.7993,0.101,0.0082,0.610,-0.0637,0.120,0.200
23,24.425,2.7355,0.040,0.0033,-1.930,-0.1203,0.120,0.120
23,22.495,2.6152,0.082,0.0119,-0.059,-0.0292,0.040,0.200
23,22.436,2.5860,0.033,0.0005,0.755,-0.0084,0.080,0.080
23,23.192,2.5776,0.000,-0.0000,0.194,-0.0214,0.040,0.040
23,23.386,2.5562,0.012,0.0041,1.020,0.1130,0.120,0.080
23,24.406,2.6691,0.000,-0.0000,-0.479,0.2907,0.160,0.040
23,23.927,2.9599,0.225,0.0037,-0.559,0.1246,0.120,0.320
23,23.368,3.0845,0.041,0.0061,0.712,0.1578,0.200,0.160
23,24.080,-3.0409,0.079,0.0007,0.120,0.0100,0.040,0.080
23,24.200,-3.0310,0.016,0.0020,-1.153,0.1930,0.200,0.080
23,23.047,-2.8380,0.061,0.0089,1.148,0.0930,0.080,0.240
23,24.195,-2.7450,0.000,-0.0000,0.610,0.0472,0.040,0.040
23,24.806,-2.6978,0.126,0.0056,-0.877,0.1803,0.200,0.200
23,23.929,-2.5175,0.056,0.0125,1.234,0.2227,0.200,0.200
23,25.163,-2.2948,0.000,-0.0000,0.136,0.0238,0.040,0.040
23,25.299,-2.2710,0.050,0.0047,-1.888,0.1473,0.160,0.080
23,23.411,-2.1237,0.000,-0.0000,0.153,0.0337,0.040,0.040
23,23.564,-2.0900,0.019,0.0032,2.350,0.0229,0.120,0.120
23,25.914,-2.0670,0.050,0.0007,-0.831,0.1263,0.160,0.080
23,25.082,-1.9407,0.134,0.0022,-1.167,0.3314,0.360,0.080
23,23.915,-1.6093,0.034,0.0038,1.982,-0.0097,0.080,0.080
23,25.898,-1.6190,0.066,0.0041,-1.178,0.0985,0.160,0.160
23,24.720,-1.5205,0.014,0.0027,0.643,0.4120,0.360,0.120
23,25.362,-1.1084,0.052,0.0147,-0.763,0.1277,0.160,0.240
23,24.600,-0.9808,0.000,-0.0000,0.164,0.0216,0.040,0.040
23,24.764,-0.9592,0.035,0.0109,-0.000,0.1241,0.200,0.200
23,24.764,-0.8351,0.017,0.0064,0.010,0.0279,0.040,0.080
23,24.774,-0.8072,0.031,0.0089,0.022,0.1275,0.160,0.120
23,24.796,-0.6797,0.000,-0.0000,0.159,0.0348,0.040,0.040
23,24.955,-0.6449,0.112,0.0019,0.151,0.0154,0.040,0.080
23,25.105,-0.6295,0.000,-0.0000,-0.604,0.1090,0.160,0.040
23,24.501,-0.5205,0.000,-0.0000,-0.573,0.4441,0.560,0.040
23,23.928,-0.0764,0.016,0.0087,1.143,-0.5504,0.440,0.200
23,25.071,-0.6268,0.000,-0.0000,-1.361,-0.2133,0.280,0.040
23,23.710,-0.8401,0.063,0.0034,1.367,0.0026,0.120,0.240
23,25.077,-0.8374,0.144,0.0026,-4.819,-0.1498,0.200,0.160
23,20.258,-0.9872,0.145,0.0079,1.374,-0.1527,0.120,0.280
23,21.632,-1.1399,0.088,0.0037,0.278,-0.0273,0.040,0.080
23,21.909,-1.1672,0.180,0.0024,0.403,-0.1613,0.200,0.120
23,22.313,-1.3286,0.116,0.0056,3.181,-0.1079,0.200,0.160
23,25.493,-1.4364,0.063,0.0020,-0.812,-0.1379,0.160,0.200
23,24.681,-1.5743,0.095,0.0022,0.140,-0.0072,0.040,0.160
23,24.821,-1.5815,0.080,0.0061,0.859,0.0054,0.120,0.400
23,25.680,-1.5760,0.116,0.0055,-0.247,-0.1556,0.240,0.120
23,25.432,-1.7316,0.077,0.0061,-3.119,-0.0783,0.160,0.680
23,22.314,-1.8099,0.000,0.0000,0.176,-0.0268,0.080,0.040
23,22.490,-1.8367,0.103,0.0016,0.488,-0.0072,0.080,0.120
23,22.977,-1.8438,0.000,-0.0000,2.979,0.0069,0.160,0.040
23,25.956,-1.8369,0.000,-0.0000,-0.244,-0.1633,0.200,0.040
23,25.713,-2.0002,0.047,0.0061,-0.260,-0.1649,0.120,0.160
23,25.452,-2.1651,0.000,-0.0000,0.060,-0.0382,0.040,0.040
23,25.512,-2.2033,0.046,0.0077,-1.480,-0.1414,0.200,0.240
23,24.032,-2.3447,0.030,0.0026,-0.084,-0.0292,0.040,0.120
23,23.948,-2.3740,0.039,0.0067,-2.635,-0.1209,0.160,0.480
23,21.313,-2.4949,0.029,0.0078,1.621,-0.0889,0.120,0.280
23,22.934,-2.5837,0.105,0.0045,2.245,-0.2244,0.280,0.240
23,25.179,-2.8081,0.101,0.0048,-2.086,-0.2765,0.200,0.160
23,23.093,-3.0847,0.000,-0.0000,0.059,-0.0254,0.040,0.040
23,23.152,-3.1101,0.079,0.0058,-7.927,0.3907,0.240,0.280
23,15.225,-2.7193,0.049,0.0018,4.153,0.6665,0.320,0.080
23,19.378,-2.0528,0.000,-0.0000,6.561,-0.0735,0.160,0.040
23,25.939,-2.1263,0.007,0.0064,-0.288,0.0158,0.040,0.080
23,25.651,-2.1105,0.081,0.0017,-0.869,0.2155,0.200,0.120
23,24.781,-1.8950,0.021,0.0033,-0.059,0.0117,0.040,0.080
23,24.723,-1.8833,0.015,0.0020,-2.795,0.1868,0.200,0.080
23,21.927,-1.6965,0.075,0.0119,2.224,0.1196,0.200,0.320
23,24.151,-1.5769,0.190,0.0022,1.535,-0.1717,0.080,0.200
23,25.687,-1.7485,0.235,0.0028,-2.095,-0.2395,0.160,0.200
23,23.592,-1.9880,0.207,0.0066,2.317,-0.0008,0.160,0.160
23,25.909,-1.9888,0.054,0.0021,-2.078,0.2699,0.200,0.200
23,23.831,-1.7189,0.000,0.0000,0.418,0.0044,0.040,0.040
23,24.249,-1.7145,0.000,0.0000,0.351,0.1159,0.160,0.040
23,24.600,-1.5987,0.058,0.0048,-0.505,0.1018,0.080,0.080
23,24.095,-1.4968,0.000,-0.0000,0.279,0.0399,0.080,0.040
23,24.375,-1.4569,0.000,-0.0000,0.787,0.2594,0.360,0.040
23,25.162,-1.1976,0.030,0.0004,0.043,0.2032,0.240,0.080
23,25.205,-0.9944,0.000,-0.0000,-0.043,0.0397,0.080,0.040
23,25.163,-0.9547,0.000,-0.0000,-0.111,0.2216,0.160,0.040
23,25.051,-0.7330,0.038,0.0066,-0.012,0.0518,0.080,0.080
23,25.039,-0.6812,0.048,0.0006,-1.148,0.1464,0.240,0.080
23,23.891,-0.5348,0.090,0.0064,-0.425,0.0940,0.240,0.240
23,23.466,-0.4409,0.040,0.0004,1.477,0.0585,0.120,0.080
23,24.943,-0.3824,0.001,0.0029,-0.070,0.0164,0.040,0.080
23,24.873,-0.3660,0.000,-0.0000,-0.542,0.1588,0.200,0.040
23,24.330,-0.2071,0.000,-0.0000,0.003,0.0216,0.040,0.040
23,24.334,-0.1855,0.062,0.0035,-0.534,0.1492,0.160,0.120
23,23.800,-0.0364,0.000,-0.0000,0.454,0.0162,0.040,0.040
23,24.254,-0.0201,0.064,0.0056,-0.007,0.0187,0.040,0.120
23,24.247,-0.0014,0.007,0.0044,-0.903,0.1706,0.200,0.080
23,23.344,0.1692,0.073,0.0058,0.395,0.0939,0.120,0.160
23,23.739,0.2631,0.040,0.0054,0.005,0.0355,0.040,0.120
23,23.744,0.2986,0.089,0.0026,-0.032,0.1444,0.120,0.200
23,23.712,0.4431,0.099,0.0141,-0.083,0.1603,0.120,0.240
23,23.629,0.6034,0.000,-0.0000,-0.005,0.0287,0.040,0.040
23,23.624,0.6321,0.000,-0.0000,-0.525,0.1567,0.160,0.040
23,23.099,0.7887,0.122,0.0077,-0.199,0.0160,0.040,0.200
23,22.900,0.8047,0.000,-0.0000,-14.316,-0.6748,0.400,0.040
23,8.584,0.1300,0.175,0.0171,2.257,-0.2902,0.120,0.160
23,10.841,-0.1602,0.084,0.0072,0.535,-0.0594,0.040,0.080
23,11.376,-0.2196,0.038,0.0132,1.985,-0.1589,0.120,0.200
23,13.361,-0.3785,0.023,0.0012,4.853,-0.1395,0.280,0.080
23,18.215,-0.5179,0.049,0.0006,5.386,-0.0690,0.240,0.080
23,23.601,-0.5870,0.000,-0.0000,0.598,-0.1967,0.200,0.040
23,24.199,-0.7837,0.000,-0.0000,0.258,-0.0230,0.040,0.040
23,24.457,-0.8067,0.043,0.0026,-0.683,-0.1956,0.200,0.120
23,23.774,-1.0023,0.037,0.0003,0.172,-0.0234,0.040,0.080
23,23.947,-1.0257,0.000,-0.0000,0.232,-0.2670,0.280,0.040
23,24.179,-1.2927,0.034,0.0033,1.160,0.0585,0.120,0.200
23,25.339,-1.2341,0.000,0.0000,0.079,-0.3091,0.240,0.040
23,25.418,-1.5433,0.170,0.0042,0.344,0.0131,0.040,0.280
23,25.762,-1.5302,0.029,0.0047,0.041,-0.0017,0.040,0.080
23,25.803,-1.5318,0.000,-0.0000,-0.319,-0.0901,0.080,0.040
23,25.484,-1.6219,0.000,0.0000,0.294,-0.0268,0.040,0.040
23,25.778,-1.6486,0.071,0.0029,-0.243,-0.1414,0.120,0.120
23,25.535,-1.7901,0.000,-0.0000,0.182,-0.0496,0.080,0.040
23,25.717,-1.8396,0.070,0.0079,-0.339,-0.1457,0.120,0.200
23,25.378,-1.9854,0.157,0.0104,0.095,-0.0907,0.120,0.200
23,25.473,-2.0761,0.002,0.0040,0.003,-0.2142,0.200,0.080
23,25.476,-2.2902,0.119,0.0008,-0.054,-0.1814,0.240,0.080
23,25.422,-2.4717,0.072,0.0084,-0.151,-0.1632,0.160,0.440
23,25.270,-2.6349,0.000,-0.0000,0.036,-0.0300,0.040,0.040
23,25.306,-2.6648,0.094,0.0043,-0.103,-0.1396,0.240,0.120
23,25.203,-2.8044,0.067,0.0060,-2.485,-0.1208,0.160,0.480
23,22.718,-2.9252,0.000,-0.0000,0.223,-0.0218,0.040,0.040
23,22.941,-2.9470,0.080,0.0022,0.356,-0.0124,0.040,0.080
23,23.297,-2.9594,0.115,0.0037,2.028,0.0500,0.080,0.600
23,25.324,-2.9094,0.113,0.0054,0.177,0.0959,0.080,0.320
23,25.501,-2.8136,0.079,0.0035,-0.551,0.0976,0.080,0.160
23,24.950,-2.7160,0.000,-0.0000,0.028,0.0070,0.040,0.040
23,24.978,-2.7090,0.105,0.0022,0.642,0.1693,0.160,0.160
23,25.620,-2.5397,0.105,0.0056,0.071,0.0152,0.040,0.280
23,25.691,-2.5245,0.059,0.0024,-1.942,0.1122,0.160,0.160
23,23.750,-2.4122,0.116,0.0029,2.145,0.0053,0.120,0.240
23,25.895,-2.4070,0.123,0.0030,-0.600,0.1164,0.160,0.240
23,25.295,-2.2906,0.072,0.0060,0.495,-0.0113,0.040,0.120
23,25.790,-2.3019,0.000,-0.0000,-0.199,0.0333,0.040,0.040
23,25.591,-2.2687,0.000,-0.0000,0.245,0.1561,0.200,0.040
23,25.836,-2.1125,0.119,0.0026,-1.853,0.1864,0.200,0.080
23,23.983,-1.9261,0.086,0.0067,1.961,-0.0246,0.040,0.120
23,25.944,-1.9507,0.020,0.0010,-0.007,0.0188,0.040,0.120
23,25.937,-1.9319,0.000,-0.0000,-0.155,0.1816,0.200,0.040
23,25.782,-1.7503,0.000,0.0000,0.042,0.1421,0.160,0.040
23,25.824,-1.6082,0.000,0.0000,-0.086,0.2580,0.360,0.040
23,25.739,-1.3502,0.044,0.0046,0.487,-0.0744,0.120,0.160
23,26.225,-1.4246,0.000,-0.0000,-0.566,0.0096,0.040,0.040
23,25.660,-1.4149,0.000,-0.0000,-0.553,-0.2212,0.200,0.040
23,25.107,-1.6361,0.175,0.0037,0.976,-0.0086,0.040,0.200
23,26.082,-1.6447,0.124,0.0020,-2.153,-0.1997,0.200,0.240
23,23.929,-1.8445,0.085,0.0046,1.599,-0.0936,0.120,0.240
23,25.528,-1.9380,0.100,0.0128,0.317,-0.0174,0.040,0.520
23,25.846,-1.9554,0.000,-0.0000,-0.365,-0.1553,0.160,0.040
23,25.481,-2.1107,0.061,0.0091,-0.020,-0.0274,0.040,0.200
23,25.461,-2.1381,0.064,0.0036,-0.322,-0.1202,0.160,0.320
23,25.138,-2.2583,0.060,0.0111,0.854,0.0214,0.080,0.720
23,25.993,-2.2369,0.000,-0.0000,-0.074,0.1984,0.080,0.040
23,25.919,-2.0385,0.117,0.0056,-1.113,0.0165,0.040,0.160
23,24.806,-2.0220,0.212,0.0023,-3.116,0.2411,0.240,0.160
23,21.690,-1.7808,0.082,0.0008,4.264,-0.1565,0.200,0.080
23,25.954,-1.9373,0.109,0.0037,-0.884,-0.2545,0.240,0.160
23,25.070,-2.1918,0.077,0.0023,0.075,-0.0139,0.040,0.080
23,25.145,-2.2057,0.060,0.0033,-0.283,-0.1239,0.160,0.160
23,24.862,-2.3295,0.030,0.0071,-0.164,-0.0732,0.120,0.280
23,24.698,-2.4028,0.000,-0.0000,0.178,-0.0145,0.080,0.040
23,24.877,-2.4173,0.056,0.0040,0.962,0.0253,0.080,0.320
23,25.839,-2.3919,0.043,0.0013,-2.699,0.2839,0.320,0.080
23,23.140,-2.1080,0.139,0.0034,2.124,0.0868,0.160,0.120
23,25.264,-2.0212,0.105,0.0038,-2.514,0.1798,0.120,0.120
23,22.749,-1.8415,0.052,0.0093,0.206,0.0184,0.040,0.120
23,22.955,-1.8231,0.048,0.0054,3.086,-0.0085,0.120,0.080
23,26.041,-1.8315,0.069,0.0023,-0.252,0.1636,0.160,0.160
23,25.789,-1.6680,0.001,0.0028,-1.434,0.2327,0.200,0.080
23,24.354,-1.4353,0.033,0.0061,1.419,-0.0023,0.040,0.080
23,25.774,-1.4376,0.121,0.0054,-0.062,0.0815,0.080,0.160
23,25.712,-1.3560,0.000,-0.0000,-0.233,0.1638,0.120,0.040
23,25.479,-1.1923,0.000,-0.0000,0.023,0.0424,0.080,0.040
23,25.502,-1.1499,0.008,0.0004,-0.305,0.2977,0.320,0.080
23,25.198,-0.8522,0.009,0.0001,-0.396,0.2291,0.200,0.080
23,24.802,-0.6231,0.069,0.0104,0.239,0.0792,0.160,0.320
23,25.040,-0.5439,0.110,0.0064,-0.182,0.1621,0.120,0.120
23,24.859,-0.3818,0.073,0.0026,0.036,0.0371,0.040,0.080
23,24.894,-0.3447,0.000,-0.0000,-0.366,0.1298,0.160,0.040
23,24.528,-0.2149,0.072,0.0061,-0.322,0.2840,0.200,0.080
23,24.207,0.0691,0.057,0.0081,-1.219,0.0748,0.120,0.160
23,22.987,0.1440,0.018,0.0049,0.356,-0.0063,0.040,0.080
23,23.343,0.1377,0.117,0.0043,-8.444,-0.0556,0.320,0.160
23,14.899,0.0820,0.071,0.0061,-0.373,0.0180,0.040,0.120
23,14.526,0.1000,0.108,0.0072,-0.657,-0.2561,0.120,0.080
23,13.869,-0.1561,0.043,0.0083,0.150,-0.0265,0.040,0.120
23,14.020,-0.1826,0.060,0.0046,0.710,-0.2586,0.160,0.120
23,14.730,-0.4412,0.045,0.0036,1.145,-0.3499,0.280,0.120
23,15.875,-0.7910,0.095,0.0053,2.504,-0.2132,0.200,0.080
23,18.379,-1.0043,0.000,0.0000,0.368,-0.0311,0.040,0.040
23,18.747,-1.0354,0.000,-0.0000,3.107,-0.1084,0.240,0.040
23,21.855,-1.1438,0.000,-0.0000,0.479,-0.0116,0.040,0.040
23,22.333,-1.1554,0.051,0.0005,0.460,-0.1124,0.160,0.080
23,22.793,-1.2678,0.010,0.0048,0.102,-0.0148,0.080,0.080
23,22.896,-1.2826,0.000,-0.0000,2.528,-0.2001,0.240,0.040
23,25.424,-1.4827,0.000,-0.0000,-2.069,-0.2325,0.160,0.040
23,23.355,-1.7153,0.000,-0.0000,0.238,-0.0266,0.040,0.040
23,23.593,-1.7418,0.003,0.0008,2.282,0.0072,0.120,0.080
23,25.874,-1.7346,0.105,0.0027,-1.264,-0.1649,0.160,0.200
23,24.610,-1.8996,0.118,0.0046,-0.319,-0.1712,0.280,0.200
23,24.291,-2.0707,0.000,-0.0000,0.151,-0.0128,0.040,0.040
23,24.442,-2.0836,0.074,0.0052,0.049,-0.0555,0.080,0.160
23,24.492,-2.1391,0.037,0.0040,1.371,0.0174,0.080,0.640
23,25.862,-2.1217,0.086,0.0047,-1.056,-0.1035,0.160,0.280
23,24.806,-2.2252,0.111,0.0024,-1.324,-0.1670,0.120,0.320
23,23.482,-2.3922,0.065,0.0128,2.294,0.0150,0.080,0.240
23,25.777,-2.3772,0.129,0.0041,-0.480,-0.2877,0.280,0.160
23,25.296,-2.6649,0.026,0.0039,-1.170,-0.1840,0.160,0.080
23,24.126,-2.8489,0.159,0.0076,1.429,0.0199,0.040,0.160
23,25.555,-2.8290,0.000,-0.0000,0.161,-0.0960,0.120,0.040
23,25.716,-2.9250,0.000,-0.0000,-0.430,-0.0125,0.040,0.040
23,25.286,-2.9375,0.052,0.0025,0.320,0.3522,0.200,0.120
23,25.606,-2.5852,0.103,0.0012,0.038,0.2389,0.200,0.160
23,25.644,-2.3463,0.076,0.0099,-0.033,0.2729,0.200,0.160
23,25.611,-2.0734,0.063,0.0158,0.139,0.2918,0.320,0.280
23,25.750,-1.7816,0.090,0.0063,-0.379,0.3386,0.360,0.200
23,25.371,-1.4430,0.051,0.0161,0.253,0.0863,0.120,0.280
23,25.624,-1.3567,0.000,-0.0000,-0.023,0.1320,0.120,0.040
23,25.601,-1.2247,0.028,0.0062,-0.126,0.1502,0.160,0.080
23,25.474,-1.0745,0.126,0.0088,-0.907,0.1750,0.160,0.200
23,24.568,-0.8996,0.028,0.0023,0.146,0.0303,0.040,0.120
23,24.714,-0.8692,0.095,0.0011,0.289,0.2272,0.440,0.080
23,25.003,-0.6421,0.009,0.0051,-1.788,0.1304,0.160,0.160
23,23.215,-0.5117,0.140,0.0043,-0.338,-0.0155,0.040,0.560
23,22.877,-0.5272,0.000,-0.0000,2.348,-0.0426,0.080,0.040
23,25.225,-0.5698,0.207,0.0057,-0.689,-0.0424,0.040,0.200
23,24.536,-0.6122,0.247,0.0026,0.614,-0.2749,0.200,0.160
23,25.150,-0.8872,0.131,0.0024,-2.253,-0.1620,0.160,0.200
23,22.897,-1.0492,0.000,-0.0000,0.077,-0.0335,0.040,0.040
23,22.974,-1.0827,0.124,0.0067,-0.029,-0.0951,0.080,0.160
23,22.945,-1.1778,0.000,-0.0000,0.170,-0.0289,0.040,0.040
23,23.115,-1.2067,0.000,-0.0000,0.216,-0.0370,0.040,0.040
23,23.331,-1.2437,0.090,0.0054,2.247,-0.0525,0.160,0.200
23,25.578,-1.2962,0.135,0.0072,-0.666,-0.1590,0.120,0.320
23,24.912,-1.4551,0.078,0.0145,-0.937,-0.2673,0.320,0.400
23,23.974,-1.7225,0.174,0.0112,0.968,-0.0487,0.080,0.480
23,24.942,-1.7712,0.105,0.0046,-1.839,-0.1186,0.120,0.200
23,23.103,-1.8898,0.000,0.0000,-0.023,-0.0259,0.040,0.040
23,23.080,-1.9157,0.033,0.0051,0.085,-0.0127,0.040,0.080
