dataset_number,r_mm_mean,theta_mean,r_mm_std,theta_std,Delta_r_mm,Delta_theta,Delta_t_s,IB_duration_s
0,24.923,-1.2335,0.002,0.0044,-0.081,0.0141,0.040,0.120
0,24.842,-1.2194,0.049,0.0020,-0.031,0.2727,0.320,0.120
0,24.810,-0.9467,0.071,0.0091,-0.311,0.1331,0.120,0.240
0,24.500,-0.8136,0.000,-0.0000,-0.116,0.0430,0.040,0.040
0,24.384,-0.7706,0.051,0.0079,-0.274,0.2423,0.240,0.280
0,24.110,-0.5283,0.050,0.0105,-0.230,0.2129,0.240,0.200
0,23.880,-0.3154,0.095,0.0117,0.190,0.0305,0.040,0.240
0,24.070,-0.2850,0.000,-0.0000,0.026,-0.3135,0.200,0.040
0,24.096,-0.5985,0.008,0.0036,0.456,-0.0295,0.080,0.080
0,24.552,-0.6280,0.072,0.0060,-0.317,0.0006,0.040,0.160
0,24.234,-0.6275,0.007,0.0013,-3.197,-0.1963,0.240,0.080
0,21.037,-0.8237,0.057,0.0035,-0.870,-0.1308,0.160,0.320
0,20.167,-0.9546,0.000,-0.0000,0.075,-0.0176,0.040,0.040
0,20.242,-0.9722,0.064,0.0072,-2.254,-0.1862,0.160,0.120
0,17.987,-1.1584,0.000,-0.0000,-0.121,-0.0530,0.080,0.040
0,17.866,-1.2114,0.077,0.0066,3.454,-0.2046,0.200,0.240
0,21.320,-1.4159,0.133,0.0111,0.922,-0.1473,0.160,0.360
0,22.242,-1.5632,0.162,0.0065,1.881,-0.1348,0.160,0.280
0,24.123,-1.6980,0.136,0.0075,-1.157,-0.0640,0.120,0.240
0,22.966,-1.7620,0.000,-0.0000,-0.303,-0.0513,0.080,0.040
0,22.662,-1.8133,0.033,0.0042,0.551,-0.1891,0.120,0.240
0,23.213,-2.0024,0.134,0.0163,1.745,-0.2365,0.320,0.320
0,24.958,-2.2389,0.087,0.0089,-0.916,-0.1444,0.120,0.280
0,24.043,-2.3833,0.012,0.0067,0.062,-0.0336,0.040,0.080
0,24.105,-2.4169,0.058,0.0066,0.430,-0.1926,0.280,0.280
0,24.535,-2.6095,0.000,0.0000,0.057,-0.0350,0.040,0.040
0,24.592,-2.6445,0.029,0.0081,-0.899,-0.1291,0.160,0.240
0,23.693,-2.7736,0.031,0.0061,0.059,-0.0405,0.040,0.080
0,23.753,-2.8141,0.039,0.0099,0.651,-0.0963,0.120,0.640
0,24.404,-2.9104,0.116,0.0048,-1.776,-0.1403,0.160,0.200
0,22.628,-3.0507,0.148,0.0048,1.601,-0.2492,0.280,0.280
0,24.229,2.9833,0.000,-0.0000,0.179,-0.0539,0.040,0.040
0,24.408,2.9294,0.088,0.0153,-0.083,-0.0699,0.120,0.280
0,24.325,2.8596,0.054,0.0063,-9.788,0.0246,0.240,0.320
0,14.537,2.8842,0.087,0.0016,7.438,-0.1044,0.280,0.160
0,21.975,2.7798,0.014,0.0008,3.125,0.0162,0.160,0.080
0,25.100,2.7960,0.000,0.0000,-0.858,-0.0999,0.120,0.040
0,24.242,2.6961,0.048,0.0028,-0.081,0.0231,0.040,0.120
0,24.161,2.7192,0.057,0.0070,0.461,-0.0074,0.080,0.200
0,24.622,2.7118,0.057,0.0020,-0.910,-0.1640,0.200,0.160
0,23.711,2.5478,0.101,0.0035,-4.985,-0.1655,0.240,0.760
0,18.726,2.3823,0.026,0.0082,0.010,-0.0533,0.040,0.080
0,18.736,2.3290,0.052,0.0117,4.981,-0.0584,0.200,0.240
0,23.717,2.2706,0.000,-0.0000,0.599,-0.0173,0.040,0.040
0,24.316,2.2533,0.096,0.0043,0.239,-0.0087,0.040,0.120
0,24.555,2.2446,0.144,0.0074,-0.492,-0.2371,0.240,0.360
0,24.063,2.0075,0.094,0.0162,0.246,-0.0300,0.120,0.800
0,24.310,1.9776,0.099,0.0056,-0.328,-0.1548,0.200,0.240
0,23.982,1.8227,0.000,0.0000,0.170,-0.0132,0.040,0.040
0,24.152,1.8095,0.000,-0.0000,-3.035,-0.1914,0.200,0.040
0,21.117,1.6181,0.054,0.0087,-5.173,-0.0210,0.160,0.440
0,15.944,1.5971,0.202,0.0154,5.256,-0.1541,0.200,0.640
0,21.200,1.4430,0.049,0.0060,0.779,-0.0392,0.040,0.080
0,21.979,1.4037,0.063,0.0105,-1.769,-0.2019,0.120,0.160
0,20.211,1.2018,0.107,0.0117,-2.146,-0.1657,0.120,0.320
0,18.064,1.0361,0.081,0.0152,-1.123,-0.2159,0.200,0.320
